product,usd_price,operative,price_type_id/id,information_date,
LUFENUROM 5 EC,11.5,CAELUM,competitiveness_management_x.A,2012-03-28,3/28/2012
LUFENUROM 5 EC,5.79,CAELUM,competitiveness_management_x.U,2012-03-28,3/28/2012
LUFENUROM 5 EC,12,CAELUM,competitiveness_management_x.BP,2012-03-28,3/28/2012
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,12,CAELUM,competitiveness_management_x.Q,2013-02-14,2/14/2013
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,15.10,CAELUM,competitiveness_management_x.SC,2013-02-14,2/14/2013
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,23,CAELUM,competitiveness_management_x.A,2013-02-14,2/14/2013
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,12.55,CAELUM,competitiveness_management_x.U,2013-02-14,2/14/2013
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,22,CAELUM,competitiveness_management_x.BP,2013-02-14,2/14/2013
AZOXISTROBINA 25 + FLUTRIAFOL 25 SC,19.8,CAELUM,competitiveness_management_x.Q,2013-02-14,2/14/2013
AZOXISTROBINA 25 + FLUTRIAFOL 25 SC,21.20,CAELUM,competitiveness_management_x.SC,2013-02-14,2/14/2013
AZOXISTROBINA 25 + FLUTRIAFOL 25 SC,45,CAELUM,competitiveness_management_x.A,2013-02-14,2/14/2013
AZOXISTROBINA 25 + FLUTRIAFOL 25 SC,23,CAELUM,competitiveness_management_x.U,2013-02-14,2/14/2013
AZOXISTROBINA 25 + FLUTRIAFOL 25 SC,42,CAELUM,competitiveness_management_x.BP,2013-02-14,2/14/2013
LAMBDACIALOTRINA 5 EC,4.39,CAELUM,competitiveness_management_x.Q,2012-09-26,9/26/2012
LAMBDACIALOTRINA 5 EC,4.15,CAELUM,competitiveness_management_x.SC,2012-09-26,9/26/2012
LAMBDACIALOTRINA 5 EC,7,CAELUM,competitiveness_management_x.A,2012-09-26,9/26/2012
LAMBDACIALOTRINA 5 EC,4.15,CAELUM,competitiveness_management_x.U,2012-09-26,9/26/2012
LAMBDACIALOTRINA 5 EC,7.7,CAELUM,competitiveness_management_x.BP,2012-09-26,9/26/2012
CARBOXINA 20 + TIRAM 20 FS,4.83,SOLARIS,competitiveness_management_x.Q,2012-06-15,6/15/2012
CARBOXINA 20 + TIRAM 20 FS,4.9,SOLARIS,competitiveness_management_x.SC,2012-06-15,6/15/2012
CARBOXINA 20 + TIRAM 20 FS,6.12,SOLARIS,competitiveness_management_x.A,2012-06-15,6/15/2012
CARBOXINA 20 + TIRAM 20 FS,4.83,SOLARIS,competitiveness_management_x.U,2012-06-15,6/15/2012
CARBOXINA 20 + TIRAM 20 FS,6.14,SOLARIS,competitiveness_management_x.BP,2012-06-15,6/15/2012
CLODINAFOPE-PROPARGIL 24 + CLOQUINTOCET 6 EC,15.63,SOLARIS,competitiveness_management_x.Q,2012-09-25,9/25/2012
CLODINAFOPE-PROPARGIL 24 + CLOQUINTOCET 6 EC,25.8,SOLARIS,competitiveness_management_x.A,2012-09-25,9/25/2012
CLODINAFOPE-PROPARGIL 24 + CLOQUINTOCET 6 EC,19.8,SOLARIS,competitiveness_management_x.U,2012-09-25,9/25/2012
CLODINAFOPE-PROPARGIL 24 + CLOQUINTOCET 6 EC,29.17,SOLARIS,competitiveness_management_x.BP,2012-09-25,9/25/2012
CLORPIRIFOS 48 EC,4.9,SOLARIS,competitiveness_management_x.Q,2012-08-10,8/10/2012
CLORPIRIFOS 48 EC,5.15,SOLARIS,competitiveness_management_x.SC,2012-08-10,8/10/2012
CLORPIRIFOS 48 EC,5.85,SOLARIS,competitiveness_management_x.A,2012-08-10,8/10/2012
CLORPIRIFOS 48 EC,4.68,SOLARIS,competitiveness_management_x.U,2012-08-10,8/10/2012
CLORPIRIFOS 48 EC,5.53,SOLARIS,competitiveness_management_x.BP,2012-08-10,8/10/2012
GLIFOSATO 48 SL,2.4,SOLARIS,competitiveness_management_x.Q,2012-07-03,7/3/2012
GLIFOSATO 48 SL,3,SOLARIS,competitiveness_management_x.SC,2012-07-03,7/3/2012
GLIFOSATO 48 SL,2.22,SOLARIS,competitiveness_management_x.E,2012-07-03,7/3/2012
GLIFOSATO 48 SL,3.1,SOLARIS,competitiveness_management_x.A,2012-07-03,7/3/2012
GLIFOSATO 48 SL,2.5,SOLARIS,competitiveness_management_x.U,2012-07-03,7/3/2012
GLIFOSATO 48 SL,2.8,SOLARIS,competitiveness_management_x.BP,2012-07-03,7/3/2012
IMIDACLOPRIDO 42 + LAMBDACIALOTRINA 6 WP,15.8,SOLARIS,competitiveness_management_x.Q,2012-07-22,7/22/2012
IMIDACLOPRIDO 42 + LAMBDACIALOTRINA 6 WP,14.73,SOLARIS,competitiveness_management_x.SC,2012-07-22,7/22/2012
IMIDACLOPRIDO 42 + LAMBDACIALOTRINA 6 WP,21.37,SOLARIS,competitiveness_management_x.A,2012-07-22,7/22/2012
IMIDACLOPRIDO 42 + LAMBDACIALOTRINA 6 WP,15,SOLARIS,competitiveness_management_x.U,2012-07-22,7/22/2012
IMIDACLOPRIDO 42 + LAMBDACIALOTRINA 6 WP,21.13,SOLARIS,competitiveness_management_x.BP,2012-07-22,7/22/2012
